VehOdo,MMRAcquisitionAuctionAveragePrice,Make,WarrantyCost,IsBadBuy
40240,7697,DODGE,834,0
42530,7697,DODGE,834,0
42976,7684,CHRYSLER,834,0
40201,7697,DODGE,834,0
37926,6350,CHRYSLER,882,0
43652,7684,CHRYSLER,834,0
39980,6350,CHRYSLER,882,0
58932,9477,DODGE,1086,0
58726,6803,KIA,505,0
94275,6370,CHEVROLET,1485,0
61903,7786,CHEVROLET,1703,0
79864,2757,FORD,1220,0
83220,6442,CHEVROLET,2282,0
84057,4175,FORD,983,0
48641,6893,DODGE,693,0
73927,7617,FORD,569,1
57192,3392,FORD,920,0
81220,9261,CHEVROLET,853,0
49136,5754,CHEVROLET,623,0
49159,5754,CHEVROLET,623,0
49892,6695,CHEVROLET,623,0
49465,7526,DODGE,834,0
50699,7567,CHRYSLER,920,0
49536,6827,DODGE,693,0
48515,5754,CHEVROLET,623,0
50834,6695,CHEVROLET,671,0
48169,7247,CHEVROLET,623,0
49095,6202,SUZUKI,482,0
48350,6314,CHRYSLER,975,0
48070,5754,CHEVROLET,623,0
47645,9244,DODGE,834,0
48062,6310,CHRYSLER,975,0
47778,7509,DODGE,834,0
75048,7450,PONTIAC,1272,0
47720,6828,DODGE,693,0
48755,6310,CHRYSLER,975,0
47851,6310,CHRYSLER,975,0
50682,7509,DODGE,920,0
49560,5628,CHEVROLET,623,1
48593,6115,CHEVROLET,623,1
51153,6412,CHRYSLER,1086,1
50022,7530,DODGE,920,1
47918,6412,CHRYSLER,975,1
59337,8756,PONTIAC,1003,1
58728,8756,PONTIAC,1003,1
48319,5391,CHRYSLER,975,1
49831,6961,CHEVROLET,623,1
47104,6402,CHEVROLET,623,1
49013,9058,PONTIAC,764,1
44234,8246,CHRYSLER,834,0
44575,7382,KIA,623,0
43170,7949,CHRYSLER,834,0
45655,8246,CHRYSLER,834,0
41638,5474,CHEVROLET,623,0
45328,6820,SATURN,623,0
42537,6263,CHRYSLER,975,0
43103,9501,KIA,623,0
40985,5474,CHEVROLET,623,0
44249,7949,CHRYSLER,834,0
43582,8196,DODGE,834,0
43623,5474,CHEVROLET,623,0
47611,6387,CHRYSLER,975,0
86922,4724,FORD,983,0
78845,3807,CHRYSLER,1272,1
71347,8432,MAZDA,1506,0
78902,2959,PONTIAC,1806,0
83945,4793,CHEVROLET,1113,0
87955,6970,PONTIAC,1373,0
85115,6612,PONTIAC,2152,0
85345,5207,CHEVROLET,853,0
71072,9070,FORD,1506,0
39831,4781,CHEVROLET,582,1
59606,8159,PONTIAC,1500,0
84281,4372,CHRYSLER,1503,0
66760,8031,PONTIAC,923,0
80839,9051,DODGE,983,0
70473,11038,JEEP,686,0
58934,3093,CHEVROLET,671,0
45782,3825,SUZUKI,482,0
82438,3957,MITSUBISHI,594,0
94631,3588,FORD,1053,0
46459,6632,SUZUKI,482,0
72050,8955,DODGE,1506,0
46465,7260,DODGE,693,0
51048,3537,SUZUKI,505,0
71051,7068,CHEVROLET,803,0
84347,7740,INFINITI,1413,0
82989,9396,CHEVROLET,1243,0
79618,7495,CHRYSLER,1155,0
73912,4089,CHEVROLET,1155,1
90141,6247,DODGE,1918,0
81636,13831,CHEVROLET,1243,0
67461,5122,CHRYSLER,1215,0
79548,4968,FORD,1155,0
80034,2360,CHEVROLET,2712,0
51256,3130,DODGE,588,0
64982,3757,SUZUKI,533,0
61339,3757,SUZUKI,533,1
67538,6061,CHRYSLER,1215,0
69345,5625,CHEVROLET,728,0
61673,4971,CHEVROLET,728,0
88428,3130,DODGE,723,0
81594,4357,CHEVROLET,1243,0
37874,4830,SUZUKI,462,0
70340,2748,BUICK,2274,0
78424,4965,HYUNDAI,569,0
70547,5143,CHEVROLET,1272,1
64803,2862,CHEVROLET,1020,0
83820,4743,CHEVROLET,1243,0
82295,1683,SATURN,2712,0
88542,4110,FORD,983,0
75238,10643,FORD,1506,0
67878,6293,CHEVROLET,1215,0
74426,4478,FORD,1155,0
61751,3439,FORD,833,0
42697,7860,HYUNDAI,623,0
74613,5602,CHRYSLER,1389,0
79634,8729,FORD,803,0
67203,5799,NISSAN,630,0
86288,5848,FORD,1633,0
75268,6316,FORD,803,1
76508,3177,FORD,1155,0
72055,5008,FORD,803,0
72247,6064,CHEVROLET,803,0
68764,3457,FORD,1020,0
82511,9734,MAZDA,1373,0
80222,7389,FORD,1373,0
75694,5904,SATURN,803,0
89404,11386,DODGE,983,1
81604,5628,TOYOTA,894,1
78285,6658,FORD,1155,0
88364,3551,CHEVROLET,853,1
61308,9568,PONTIAC,1118,0
68550,9888,FORD,1613,0
68474,8301,FORD,728,0
74311,6856,NISSAN,569,1
82029,7417,JEEP,723,0
84476,5617,CHRYSLER,1503,0
85325,11802,FORD,853,1
93412,6165,PONTIAC,2351,0
88681,6984,TOYOTA,594,1
86664,7878,CHEVROLET,2152,0
81471,8034,CHEVROLET,1243,1
87360,5582,CHEVROLET,853,1
51371,5911,DODGE,1251,0
51942,6395,PONTIAC,671,0
81042,10311,CHEVROLET,1633,0
76313,7627,CHEVROLET,1974,0
76314,3340,CHRYSLER,1923,0
77995,4607,FORD,1506,0
90095,9964,FORD,1630,0
67745,4816,CHEVROLET,728,0
59923,4774,KIA,505,0
88581,3292,DODGE,723,0
74270,7256,CHRYSLER,1155,0
74165,4713,SATURN,803,0
59907,3268,PONTIAC,920,0
86115,11584,GMC,1243,0
44978,4306,CHRYSLER,975,0
62336,5136,JEEP,630,0
75563,5746,DODGE,1623,0
91773,3074,FORD,1053,0
57949,4608,CHEVROLET,671,1
76681,7202,VOLKSWAGEN,1272,0
90845,8168,HONDA,1053,0
109348,2558,DODGE,810,1
58632,5253,PONTIAC,505,1
102161,2523,CHRYSLER,1450,1
88382,3240,CHRYSLER,1373,0
71720,8458,FORD,1389,0
72005,6555,NISSAN,569,0
79245,6378,CHEVROLET,1389,1
97490,12136,CHEVROLET,1341,1
49088,9402,DODGE,693,1
73128,5313,CHRYSLER,1623,0
92626,7703,CHEVROLET,1918,0
88633,7452,MAZDA,983,0
66532,9937,NISSAN,630,1
82564,6273,CHEVROLET,1243,0
86951,5353,FORD,983,1
42252,2106,CHRYSLER,1205,0
87611,2680,PONTIAC,1543,0
76582,9023,FORD,1506,0
62795,13751,MERCURY,1118,0
88976,2749,SATURN,1933,0
59565,9122,MERCURY,1169,0
67472,9777,DODGE,1215,0
82798,4763,FORD,1633,0
69020,8513,FORD,1411,0
80345,13681,MERCURY,983,0
88542,3896,FORD,1633,0
75116,6733,CHRYSLER,1623,0
70708,10840,DODGE,1389,0
57408,7194,CHEVROLET,1500,1
66234,9777,DODGE,1215,1
65790,3231,FORD,1125,0
78645,11654,CHRYSLER,1389,0
72190,7809,CHEVROLET,1272,0
70198,10234,CHRYSLER,1389,0
81412,9167,BUICK,4032,0
85420,8008,CHRYSLER,2022,0
72853,8484,FORD,1623,0
62196,7194,CHEVROLET,1703,0
79967,6871,FORD,1506,0
61592,6586,DODGE,1215,0
78438,9292,CHEVROLET,1974,0
75609,9817,DODGE,1623,0
75072,5535,DODGE,1623,0
84924,6305,PONTIAC,2152,0
81675,10234,CHRYSLER,1503,0
83372,5109,DODGE,1763,0
87145,5215,CHEVROLET,1373,0
83432,4964,DODGE,1763,0
72937,6771,CHEVROLET,803,0
51399,8175,CHEVROLET,1169,0
70707,10033,FORD,1506,0
60888,5612,CHEVROLET,2003,0
73612,4856,DODGE,1623,0
71939,6236,CHEVROLET,1272,0
87265,6236,CHEVROLET,1373,0
85546,6002,DODGE,1763,0
78306,7457,FORD,803,0
72864,5443,CHRYSLER,1389,0
76660,10788,CHEVROLET,1506,0
83316,6544,DODGE,1763,0
95049,2636,DODGE,1341,0
84207,13424,FORD,1633,0
56530,9635,CHRYSLER,1086,0
88260,6544,DODGE,1763,0
83979,6272,CHRYSLER,1503,0
86166,6947,CHRYSLER,1503,0
82834,6867,CHEVROLET,2152,0
88018,8671,CHEVROLET,2282,0
60582,2473,DODGE,930,0
81014,8736,CHEVROLET,2282,0
59369,6902,CHRYSLER,1086,0
85887,7176,CHRYSLER,2022,0
83142,3397,PONTIAC,2152,0
75851,9797,FORD,1506,0
79610,4597,DODGE,920,1
68087,10258,FORD,728,0
82455,5563,PONTIAC,2152,0
78618,9314,DODGE,1389,0
79215,6872,PONTIAC,1974,0
69913,5488,CHRYSLER,1215,0
88200,13321,DODGE,1763,0
74513,7213,CHEVROLET,1272,0
83239,5843,MAZDA,1633,0
84279,8373,FORD,1633,0
84749,2209,PONTIAC,1543,0
54117,3306,SATURN,1551,0
93996,1894,FORD,1785,1
65217,4584,CHRYSLER,1118,1
96084,5831,CHEVROLET,1485,0
72207,6969,CHEVROLET,1974,0
69926,5603,DODGE,1411,1
69808,11491,CHRYSLER,1606,0
73671,3818,CHRYSLER,1389,0
88668,9462,FORD,1633,0
87581,10211,CHRYSLER,2022,0
76535,7874,CHEVROLET,1155,0
91006,8333,CHRYSLER,1630,0
74251,8826,CHEVROLET,1974,0
92781,6515,FORD,1497,1
89243,10776,FORD,1763,0
56261,6123,CHEVROLET,671,0
85142,5665,CHEVROLET,1373,0
80313,9161,FORD,1633,0
84389,9161,FORD,1633,0
85969,4677,CHRYSLER,1373,0
75545,3637,CHEVROLET,2091,1
66821,3270,DODGE,630,1
79529,5440,FORD,920,0
65191,5021,PONTIAC,1703,0
64844,7422,CHEVROLET,1703,0
74206,9988,DODGE,1623,0
84835,11669,JEEP,1633,0
84790,5830,CHEVROLET,853,0
82417,2325,FORD,1543,0
48270,9254,FORD,623,0
73970,2239,CHEVROLET,1155,0
61105,3509,OLDSMOBILE,4210,1
84447,5813,CHEVROLET,1373,0
80381,6500,CHEVROLET,2452,0
64452,3811,CHRYSLER,1118,0
70053,3011,SATURN,1806,0
73934,8365,PONTIAC,1272,0
89615,2727,SATURN,2712,0
71972,6782,PONTIAC,1974,0
59335,5875,PONTIAC,1003,0
66188,3835,SATURN,728,1
70610,7011,CHEVROLET,1974,0
57239,5557,SATURN,1251,0
81540,9499,DODGE,1503,0
84399,3232,CHRYSLER,1373,1
52696,10381,TOYOTA,505,0
50119,4361,SATURN,1666,0
51678,5076,FORD,920,0
74608,3006,SATURN,1103,0
81558,7727,CHEVROLET,2152,0
83990,6264,DODGE,1763,0
93002,9187,NISSAN,765,0
80812,10301,TOYOTA,594,0
79975,13872,DODGE,920,0
61529,7131,CHEVROLET,1118,1
76736,10400,TOYOTA,569,0
71061,3630,CHEVROLET,2274,0
77449,6266,CHRYSLER,1389,1
88514,7472,CHEVROLET,2152,0
89297,10254,DODGE,1503,0
76588,9681,PONTIAC,1974,0
71856,10301,TOYOTA,569,1
84368,10400,TOYOTA,594,0
88397,5070,CHEVROLET,1373,0
57041,4404,CHRYSLER,1086,1
87091,5951,DODGE,1763,0
73235,5746,NISSAN,986,0
74799,3200,FORD,1155,0
85042,5383,DODGE,983,0
69562,8309,FORD,728,0
84804,7455,FORD,853,0
74857,11856,FORD,803,0
49862,8740,PONTIAC,764,0
79619,9650,TOYOTA,569,0
73680,10301,TOYOTA,569,0
56939,0,PONTIAC,1500,0
95836,0,FORD,1053,0
84656,3618,KIA,853,1
73530,5479,CHRYSLER,1272,0
61724,7277,TOYOTA,533,0
70842,2127,DODGE,1740,0
67359,3724,PONTIAC,2003,0
86432,7104,CHEVROLET,1113,0
56125,6526,MAZDA,837,0
72819,3963,NISSAN,569,1
83600,7508,CHEVROLET,2152,0
83460,4077,FORD,594,0
68977,4754,DODGE,1020,0
73055,2891,DODGE,986,0
67084,4791,MAZDA,3415,1
72169,5776,FORD,1740,1
72720,3834,DODGE,1155,0
66049,7420,DODGE,825,0
75064,2376,MAZDA,1103,0
79462,6081,SUZUKI,920,0
68003,3316,SUZUKI,533,0
71614,5207,CHRYSLER,1389,0
87352,7569,NISSAN,1153,1
66946,8163,MAZDA,923,0
46275,2024,HYUNDAI,1134,1
78624,4408,CHEVROLET,1974,1
76996,6893,CHEVROLET,1389,1
65168,3508,FORD,1020,0
40163,4199,MITSUBISHI,482,0
63275,5358,CHEVROLET,728,1
85902,8225,CHEVROLET,2152,0
59518,8352,DODGE,1086,0
82985,8033,CHEVROLET,2152,0
85532,8225,CHEVROLET,2152,0
65888,7250,CHEVROLET,728,0
52539,3713,CHRYSLER,920,0
82847,6636,JEEP,1283,0
79923,4774,MAZDA,1806,1
79981,9380,FORD,803,0
62512,7378,PONTIAC,923,0
66166,3188,DODGE,630,1
94255,5588,ACURA,1497,0
80090,6654,CHRYSLER,1503,0
73474,8089,DODGE,1389,0
45677,6665,CHRYSLER,975,0
81687,2943,BUICK,2452,0
88325,3897,PONTIAC,2412,0
77490,2710,BUICK,2274,0
69641,7766,VOLKSWAGEN,1118,0
95382,5013,JEEP,2506,1
79357,2611,DODGE,986,0
76415,2681,FORD,1455,0
80185,4286,NISSAN,594,1
86125,5248,NISSAN,594,0
84448,4078,PONTIAC,2412,0
69412,2944,SUZUKI,923,0
73404,3280,CHEVROLET,1155,0
75546,4182,FORD,1103,1
79759,4448,CHEVROLET,1155,0
81372,2638,DODGE,2063,1
88238,7922,CHEVROLET,2152,0
54112,6831,KIA,754,0
81528,6913,CHEVROLET,1373,0
89007,6859,TOYOTA,594,0
78537,10208,TOYOTA,569,0
90988,4436,DODGE,1341,0
82006,5785,FORD,1633,1
92139,4425,DODGE,1918,0
71548,5804,MAZDA,920,0
77972,11261,NISSAN,686,0
86228,8956,CHEVROLET,1373,0
78735,2971,CHEVROLET,2274,1
90011,6945,TOYOTA,620,0
87642,4413,CHEVROLET,853,0
74058,7940,HYUNDAI,803,0
81751,8238,NISSAN,1373,0
72405,7602,VOLKSWAGEN,1272,0
87536,7357,DODGE,1763,1
53295,2693,CHEVROLET,920,0
82480,4693,FORD,1633,0
82890,2025,FORD,2322,1
77467,6678,CHEVROLET,1272,0
77954,4178,TOYOTA,869,0
64460,10764,MAZDA,1118,0
79356,2324,CHEVROLET,4922,0
52058,1937,DODGE,888,0
62376,6638,NISSAN,1320,0
66115,7466,CHRYSLER,1215,0
81131,4124,NISSAN,594,0
93096,4206,CHEVROLET,765,0
83085,4206,CHEVROLET,723,0
86954,7768,FORD,1373,0
89675,4728,BUICK,2452,1
75184,6623,FORD,803,1
78551,4692,CHEVROLET,803,0
64134,5488,CHRYSLER,1313,0
75963,4531,MERCURY,1506,0
65054,6337,DODGE,1411,0
73941,3221,FORD,920,0
77139,6844,MITSUBISHI,569,0
86090,6509,CHEVROLET,2152,0
50114,2951,FORD,754,0
82827,4176,CHEVROLET,2152,0
85055,4176,CHEVROLET,2152,0
81416,4176,CHEVROLET,2152,0
89796,8651,CHEVROLET,1633,1
86342,2428,CHRYSLER,1373,1
54259,6351,TOYOTA,505,0
79645,4521,NISSAN,569,0
83755,4833,KIA,594,0
85373,4677,CHRYSLER,1503,1
93878,4260,FORD,620,1
66359,6888,CADILLAC,1711,0
82613,8444,DODGE,1503,0
71897,5884,FORD,803,0
83385,0,CHEVROLET,2152,0
93905,0,CHEVROLET,765,0
70716,0,CHRYSLER,1389,1
79554,7927,KIA,1740,0
87815,6449,TOYOTA,1023,0
72243,5745,PONTIAC,1038,0
55024,3290,HYUNDAI,1137,0
87048,7284,NISSAN,723,0
51231,5776,TOYOTA,505,0
88670,4617,FORD,1803,0
74278,7071,FORD,1740,0
54475,5480,DODGE,1086,0
76472,8697,CHEVROLET,2208,0
54344,5480,DODGE,1086,0
64922,6544,DODGE,1411,0
50436,5480,DODGE,1086,0
45997,5480,DODGE,975,0
47529,5569,DODGE,975,0
69501,6544,DODGE,1411,0
50006,5480,DODGE,1086,0
64671,5480,DODGE,1215,0
68293,7087,CHEVROLET,1801,0
49119,5569,DODGE,975,0
52945,5480,DODGE,1086,0
68207,6544,DODGE,1411,0
72850,5022,DODGE,1623,0
52363,5480,DODGE,1086,0
74077,3924,CHEVROLET,4622,0
41865,5480,DODGE,975,0
72003,5480,DODGE,1389,0
69138,5382,JEEP,1125,0
60831,3924,CHEVROLET,3910,0
66061,6311,CHEVROLET,923,0
73159,6311,CHEVROLET,1038,0
72881,6311,CHEVROLET,1038,0
43080,6236,CHEVROLET,905,0
71733,6311,CHEVROLET,1038,0
75531,7884,CHEVROLET,1974,0
91803,7884,CHEVROLET,2351,0
71203,7884,CHEVROLET,1974,0
95018,7884,CHEVROLET,2351,0
73226,6967,CHEVROLET,1038,0
75635,6967,CHEVROLET,1038,0
71406,5901,CHEVROLET,1272,0
86077,7507,CHEVROLET,2282,0
53040,6274,DODGE,1086,0
82921,8006,CHEVROLET,2152,0
47533,3500,DODGE,975,0
74028,7884,CHEVROLET,1974,0
83520,7884,CHEVROLET,2152,0
82493,8411,DODGE,1763,0
58795,6274,DODGE,1086,0
72197,7339,CHRYSLER,1272,0
74667,6274,DODGE,1389,0
71988,6274,DODGE,1389,0
83265,7884,CHEVROLET,2152,0
96985,8006,CHEVROLET,2351,0
77251,7145,CHEVROLET,1038,0
72143,6233,DODGE,1389,0
54959,6233,DODGE,1086,0
71675,7066,DODGE,1272,0
68969,8005,CHEVROLET,1703,0
71964,7145,CHEVROLET,1038,0
90609,8005,CHEVROLET,2351,0
63531,7145,CHEVROLET,923,0
69074,7245,CHEVROLET,923,0
88359,8005,CHEVROLET,2152,0
78620,8005,CHEVROLET,1974,0
63300,7245,CHEVROLET,923,0
81111,7245,CHEVROLET,1113,0
65554,7145,CHEVROLET,923,0
76067,6233,DODGE,1389,0
77501,6233,DODGE,1389,0
66990,8005,CHEVROLET,1703,0
80908,8005,CHEVROLET,2152,0
84375,4581,PONTIAC,594,0
84487,7393,CHEVROLET,2282,0
69805,6233,DODGE,1215,1
76179,8005,CHEVROLET,1974,0
65094,7145,CHEVROLET,923,0
83627,8034,CHEVROLET,2282,0
63291,7145,CHEVROLET,923,0
80552,6233,DODGE,1503,0
80008,7050,CHEVROLET,2282,0
78214,8005,CHEVROLET,1974,0
80084,8005,CHEVROLET,2152,0
89083,8005,CHEVROLET,2152,0
71075,4826,CHEVROLET,4622,0
62580,7530,CHRYSLER,1118,0
89569,7245,CHEVROLET,1113,0
59015,6233,DODGE,1086,0
67498,6233,DODGE,1215,0
63760,7245,CHEVROLET,923,0
74881,8005,CHEVROLET,1974,0
87563,8005,CHEVROLET,2152,0
83135,7444,FORD,1893,0
68320,8005,CHEVROLET,1703,0
61586,4826,CHEVROLET,3910,0
78167,8034,CHEVROLET,2091,0
68805,8005,CHEVROLET,1703,0
66432,6233,DODGE,1215,0
62271,7050,CHEVROLET,1801,0
78382,8005,CHEVROLET,1974,0
71345,7832,CHEVROLET,1974,0
78067,7145,CHEVROLET,1038,0
71612,6215,DODGE,1623,0
61107,4739,FORD,833,0
76904,4455,CHEVROLET,4622,0
71220,6376,CHEVROLET,2091,0
71942,6213,DODGE,1389,0
77355,7202,DODGE,1272,0
76647,8306,PONTIAC,1038,0
83783,8042,CHEVROLET,2152,0
90673,6799,CHEVROLET,2495,0
66737,4455,CHEVROLET,3910,0
73283,5101,FORD,1155,0
93235,8692,CHEVROLET,2495,0
78215,8692,CHEVROLET,2091,0
74203,10761,DODGE,1623,0
65841,7057,CHEVROLET,923,0
71825,6990,CHEVROLET,1038,0
73625,6990,CHEVROLET,1038,0
61176,7057,CHEVROLET,923,0
53511,5952,CHEVROLET,837,0
82201,6811,CHEVROLET,1113,0
74671,6577,CHRYSLER,1272,0
63626,7627,CHEVROLET,1703,0
63134,7627,CHEVROLET,1703,0
62556,6746,DODGE,1215,0
57593,5531,CHEVROLET,1003,0
61049,6811,CHEVROLET,923,0
48964,6746,DODGE,975,0
74953,7627,CHEVROLET,1974,0
65743,5531,CHEVROLET,1118,0
82049,5952,CHEVROLET,1113,0
79511,6811,CHEVROLET,1038,0
89586,6811,CHEVROLET,1113,0
76333,7627,CHEVROLET,1974,0
59893,6577,CHRYSLER,1003,0
79882,7627,CHEVROLET,1974,0
49357,6746,DODGE,975,0
58228,6577,CHRYSLER,1003,0
83539,7627,CHEVROLET,2152,0
80640,6811,CHEVROLET,1113,0
62645,7627,CHEVROLET,1703,0
57258,5106,DODGE,1086,0
53280,6746,DODGE,1086,0
72235,6577,CHRYSLER,1272,0
59146,7627,CHEVROLET,1500,0
77900,6746,DODGE,1389,0
56807,6746,DODGE,1086,0
64129,7456,CHEVROLET,1703,0
73424,5921,DODGE,1389,0
73650,7456,CHEVROLET,1974,0
43559,7176,KIA,623,1
53510,7456,CHEVROLET,1500,0
55851,7064,CHEVROLET,837,0
73457,7456,CHEVROLET,1974,0
49780,4110,CHEVROLET,764,0
55951,7064,CHEVROLET,837,0
60530,7456,CHEVROLET,1703,0
93358,6267,MITSUBISHI,909,0
80984,7064,CHEVROLET,1113,0
52919,5921,DODGE,1086,0
57937,7064,CHEVROLET,837,0
62181,7456,CHEVROLET,1703,0
77527,5921,DODGE,1389,0
60472,7456,CHEVROLET,1703,0
74468,7424,CHEVROLET,1974,0
86961,6083,DODGE,1503,0
73964,7424,CHEVROLET,1974,0
49242,6259,CHEVROLET,764,0
68735,7574,CHRYSLER,1118,0
90790,6259,CHEVROLET,1197,0
97815,7424,CHEVROLET,2351,0
70823,7574,CHRYSLER,1272,0
61895,7424,CHEVROLET,1703,0
81542,6161,FORD,1893,0
65959,6259,CHEVROLET,923,0
51703,7660,CHEVROLET,1500,0
